datetime,0x_social_volume_total,1inch_social_volume_total,aave_social_volume_total,alchemix_social_volume_total,ampleforth_social_volume_total,api3_social_volume_total,bancor_social_volume_total,band-protocol_social_volume_total,coin98_social_volume_total,cow-protocol_social_volume_total,crvusd_social_volume_total,dia-data_social_volume_total,dydx_social_volume_total,frax_social_volume_total,frax-share_social_volume_total,injective-protocol_social_volume_total,lido-dao_social_volume_total,liquity_social_volume_total,liquity-usd_social_volume_total,loopring_social_volume_total,magic-internet-money_social_volume_total,maker_social_volume_total,marlin_social_volume_total,melon_social_volume_total,olympus_social_volume_total,orbs_social_volume_total,orion-protocol_social_volume_total,pendle_social_volume_total,rocket-pool_social_volume_total,spell-token_social_volume_total,ssv-network_social_volume_total,sushi_social_volume_total,tellor_social_volume_total,uma_social_volume_total,uniswap_social_volume_total,yearn-finance_social_volume_total
2023-08-19 00:00:00+00:00,0.0,1.0,12.0,,1.0,2.0,12.0,12.0,6.0,14.0,17.0,23.0,9.0,11.0,3.0,76.0,6.0,3.0,1.0,36.0,12.0,33.0,9.0,2.0,0.0,2.0,0.0,4.0,8.0,13.0,1.0,15.0,1.0,17.0,68.0,4.0
2023-08-20 00:00:00+00:00,3.0,25.0,15.0,1.0,4.0,1.0,15.0,19.0,2.0,7.0,6.0,16.0,9.0,12.0,1.0,67.0,11.0,1.0,0.0,25.0,3.0,31.0,5.0,8.0,1.0,0.0,0.0,4.0,8.0,11.0,0.0,25.0,0.0,35.0,125.0,0.0
2023-08-21 00:00:00+00:00,2.0,8.0,9.0,3.0,3.0,1.0,9.0,22.0,0.0,12.0,4.0,35.0,1.0,22.0,9.0,61.0,14.0,2.0,2.0,47.0,12.0,39.0,10.0,9.0,5.0,1.0,0.0,6.0,7.0,7.0,0.0,6.0,2.0,25.0,102.0,7.0
2023-08-22 00:00:00+00:00,2.0,5.0,13.0,0.0,6.0,1.0,22.0,20.0,13.0,6.0,10.0,37.0,11.0,38.0,5.0,67.0,7.0,1.0,2.0,63.0,7.0,53.0,14.0,12.0,1.0,0.0,2.0,3.0,10.0,13.0,0.0,19.0,1.0,54.0,79.0,6.0
2023-08-23 00:00:00+00:00,1.0,5.0,10.0,2.0,7.0,9.0,7.0,29.0,3.0,14.0,11.0,32.0,15.0,36.0,5.0,71.0,13.0,3.0,2.0,76.0,7.0,52.0,10.0,6.0,3.0,2.0,2.0,46.0,5.0,24.0,0.0,21.0,0.0,41.0,75.0,0.0
2023-08-24 00:00:00+00:00,2.0,21.0,13.0,0.0,0.0,9.0,7.0,18.0,1.0,10.0,7.0,32.0,48.0,3.0,6.0,66.0,5.0,1.0,0.0,52.0,10.0,72.0,3.0,16.0,6.0,0.0,0.0,70.0,3.0,16.0,,28.0,0.0,45.0,77.0,3.0
2023-08-25 00:00:00+00:00,3.0,29.0,10.0,2.0,0.0,3.0,19.0,27.0,6.0,5.0,6.0,31.0,16.0,9.0,1.0,56.0,16.0,3.0,2.0,36.0,18.0,68.0,14.0,4.0,1.0,3.0,0.0,9.0,11.0,11.0,,13.0,2.0,38.0,98.0,3.0
2023-08-26 00:00:00+00:00,1.0,15.0,6.0,0.0,8.0,3.0,2.0,13.0,0.0,11.0,7.0,38.0,27.0,10.0,1.0,47.0,9.0,1.0,1.0,24.0,5.0,60.0,3.0,3.0,2.0,2.0,1.0,7.0,30.0,12.0,1.0,12.0,31.0,24.0,89.0,2.0
2023-08-27 00:00:00+00:00,0.0,6.0,13.0,0.0,0.0,4.0,9.0,17.0,0.0,9.0,8.0,22.0,44.0,9.0,3.0,72.0,10.0,0.0,0.0,76.0,3.0,35.0,8.0,2.0,3.0,4.0,3.0,3.0,23.0,11.0,0.0,18.0,33.0,19.0,88.0,2.0
2023-08-28 00:00:00+00:00,2.0,41.0,10.0,0.0,1.0,38.0,4.0,44.0,2.0,10.0,9.0,19.0,43.0,7.0,1.0,47.0,7.0,1.0,0.0,40.0,8.0,37.0,11.0,2.0,1.0,4.0,0.0,3.0,3.0,10.0,2.0,10.0,20.0,23.0,90.0,2.0
